City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Tezu,IN,2021-11-06 11:40:43,27.9167,96.1667,65.48,58,49,4.72
252,Nurota,UZ,2021-11-06 11:40:43,40.5614,65.6886,50.09,27,0,12.19
253,Severo-Kurilsk,RU,2021-11-06 11:40:43,50.6789,156.125,35.51,76,21,5.19
254,Nalgonda,IN,2021-11-06 11:40:44,17.05,79.2667,78.37,65,15,7.81
255,Avarua,CK,2021-11-06 11:40:44,-21.2078,-159.775,73.45,73,20,8.05
256,Maragogi,BR,2021-11-06 11:40:45,-9.0122,-35.2225,84.96,61,76,12.03
257,Ouadda,CF,2021-11-06 11:40:45,8.0777,22.4007,89.76,41,48,4.68
258,Santa Isabel Do Rio Negro,BR,2021-11-06 11:40:46,-0.4139,-65.0192,81.27,74,93,2.19
259,San Quintin,MX,2021-11-06 11:40:46,30.4833,-115.95,61.02,91,1,6.8
260,Eenhana,NA,2021-11-06 11:40:46,-17.4667,16.3333,96.51,19,74,5.93
261,Richards Bay,ZA,2021-11-06 11:40:47,-28.783,32.0377,78.64,67,70,9.71
262,Hamilton,US,2021-11-06 11:40:47,39.1834,-84.5333,34.0,91,75,3.44
263,Concordia,AR,2021-11-06 11:40:48,-31.393,-58.0209,59.07,72,75,8.99
264,Saint-Georges,GD,2021-11-06 11:40:48,12.0564,-61.7485,82.08,78,20,13.8
265,Isangel,VU,2021-11-06 11:40:49,-19.55,169.2667,72.72,83,99,8.32
266,Namatanai,PG,2021-11-06 11:40:49,-3.6667,152.4333,80.44,76,64,9.55
267,Petropavlovsk-Kamchatskiy,RU,2021-11-06 11:40:49,53.0452,158.6483,30.79,59,75,8.95
268,Pinega,RU,2021-11-06 11:40:50,64.7001,43.3936,39.33,89,100,10.51
269,Dengzhou,CN,2021-11-06 11:40:50,37.8086,120.7508,58.62,84,30,13.27
270,Voi,KE,2021-11-06 11:40:51,-3.3945,38.563,91.9,23,41,10.45
271,Simpang,ID,2021-11-06 11:40:51,-1.2667,104.0833,76.89,93,99,2.17
272,Dagana,MR,2021-11-06 11:41:51,16.5165,-15.5068,96.78,12,43,13.29
273,Baghdad,IQ,2021-11-06 11:37:10,33.3406,44.4009,84.11,26,0,9.22
274,Mehamn,NO,2021-11-06 11:41:52,71.0357,27.8492,33.75,86,75,13.8
275,San Patricio,US,2021-11-06 11:41:53,28.017,-97.5169,62.46,72,0,5.93
276,Yining,CN,2021-11-06 11:41:53,29.0361,114.5636,65.52,95,95,2.06
277,Suhut,TR,2021-11-06 11:41:54,38.5311,30.5458,65.77,27,4,6.89
278,San Lorenzo,PY,2021-11-06 11:41:54,-25.3333,-57.5333,67.14,100,90,7.0
279,Zhigansk,RU,2021-11-06 11:41:55,66.7697,123.3711,-0.33,92,99,9.4
280,Alta Floresta,BR,2021-11-06 11:41:55,-9.8756,-56.0861,72.01,98,100,2.35
281,Arlit,NE,2021-11-06 11:41:55,18.7369,7.3853,96.21,9,0,1.19
282,Qui Nhon,VN,2021-11-06 11:41:56,13.7667,109.2333,78.21,84,85,3.06
283,Simao,CN,2021-11-06 11:41:56,22.7886,100.9748,64.29,82,46,2.21
284,Clyde River,CA,2021-11-06 11:41:19,70.4692,-68.5914,14.61,95,82,4.36
